Index,Author,Editor,DLL Work Authority Record(s),Title,Place,Publisher,Date,Url,Publication Year,Num Pages,Number Of Volumes,Short Title,Series,Archive,Library Catalog,Manual Tags,Automatic Tags
12,"45078 : Nepos, Cornelius",,,Cornelii Nepotis vitae.,Lipsiae,B.G. Teubner,1890,https://catalog.hathitrust.org/Record/001809218,1890,118 p.,,,,Hathi Trust,University of Michigan,,
38,"45777 : Frontinus, Sextus Julius","Ranke, Friedrich, 1882-1950",,De aquaeductu urbis Romae commentarius,Lipsiae,B.G. Teubner,1922,https://catalog.hathitrust.org/Record/007964384,1922,58 p.,,,De aquis urbis Romae,Hathi Trust,University of Wisconsin - Madison,,
48,"45036 : Cicero, Marcus Tullius","89575 : Klotz, Reinhold, 1807-1870",Pro Quinctio (80979);Pro S. Roscio Amerino (80983);Pro Q. Roscio Comoedo (80978),"M. Tullii Ciceronis Orationes pro P. Quinctio, pro Sex. Roscio Amerino, pro Q. Roscio Comoedo.",Lipsiae,B.G. Teubner,1877,https://catalog.hathitrust.org/Record/100794219,1877,86 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of California,,
50,"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",Epistulae ad Atticum (80941),M. Tullii Ciceronis epistolarum ad Atticum: libri I-IV,Lipsiae,B.G. Teubner,1905,https://catalog.hathitrust.org/Record/100639281,1905,128 p.,,M. Tullii Ciceronis epistolarum ad Atticum,,Hathi Trust,University of California,,
59,"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",Cato Maior de Senectute (80922);Laelius de Amicitia (80955);Paradoxa Stoicorum (80960),"M. Tullii Ciceronis Cato maior de senectute, Laelius de amicitia, paradoxa.",Leipzig,B.G. Teubner,1909,https://catalog.hathitrust.org/Record/100851443,1909,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of California,,
101,45030 : Lucan,"84097 : Hosius, Carl, 1866-1937",Bellum Civile (80908),M. Annaei Lvcani Belli civilis libri decem,Lipsiae,B.G. Teubner,1913,https://catalog.hathitrust.org/Record/100027658,1913,395 p.,,,,HathiTrust,University of Minnesota,,
111,"45406 : Tacitus, Cornelius","Andresen, Georg, 1845-; 89560 : Halm, Karl, 1809-1882",,Libri qui supersunt,Lipsiae,B.G. Teubner,1913,https://catalog.hathitrust.org/Record/011665082,1913,,2 v.,,,HathiTrust,Cornell University,,
114,45367 : Sallust,,,Libri de Catilinae coniuratione et de bello Iugurthino. Accendunt orationes et epistulae ex Historiis excerptae.,Lipsiae,B.G. Teubner,1886,https://catalog.hathitrust.org/Record/012445084,1886,128 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Cornell University,,
119,"45615 : Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.","89460 : Hermes, Emil, 1847-1911",,L. Annaeus Senecae Dialogorum libros XII,Lipsiae,B.G. Teubner,1917,https://catalog.hathitrust.org/Record/100192556,1917,,3 v.,,,Hathi Trust,University of Illinois at Urbana-Champaign,,
147,"45701 : Caesar, Julius",,,Commentarius de bello Alexandrino,Lipsiae,B.G. Teubner,1896,https://catalog.hathitrust.org/Record/001724919,1896,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,HathiTrust,University of Michigan,,
466,"45406 : Tacitus, Cornelius","Heraeus, W. (Wilhelm), 1862-1938; Heraeus, Carl (Karl Jesaias), 1818-1891",,Cornelii Taciti Historiarum libri qui supersunt,Leipzig ; Berlin,B.G. Teubner,1899,https://catalog.hathitrust.org/Record/009624073,1899,,2 v.,,Historiae,Hathi Trust,University of California,,
