Ed1;Ed2;2;3;4;5
"84176 : Schöll, Fritz, 1850-1919;84089 : Goetz, Georg, 1849-1932"
"89577 : Kramer, Otto, 1887-"
"84183 : Thomas, Paul, 1852-1937"
"84183 : Thomas, Paul, 1852-1937;84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966"
"84094 : Hermann, Karl Friedrich, 1804-1855"
""
"84117 : Lommatzsch, Ernst, 1871-1949;84049 : Buecheler, Franz, 1837-1908;84137 : Riese, Alexander, 1840-1922"
"84137 : Riese, Alexander, 1840-1922;84049 : Buecheler, Franz, 1837-1908"
"84049 : Buecheler, Franz, 1837-1908;84137 : Riese, Alexander, 1840-1922"
"84137 : Riese, Alexander, 1840-1922;84049 : Buecheler, Franz, 1837-1908"
"84117 : Lommatzsch, Ernst, 1871-1949;84137 : Riese, Alexander, 1840-1922;84049 : Buecheler, Franz, 1837-1908"
"84179 : Stegmann, Carl"
"84103 : Kiessling, Adolf, 1837-1892"
"84086 : Friedlein, Gottfried, 1828-1875"
"84123 : Meiser, Karl, 1843-1912"
"84123 : Meiser, Karl, 1843-1912"
"84087 : Gardthausen, V. (Victor), 1843-1928"
"84087 : Gardthausen, V. (Victor), 1843-1928"
"84127 : Müller, Lucian, 1836-1898"
"84127 : Müller, Lucian, 1836-1898"
"84141 : Rossbach, August, 1823-1898"
"84127 : Müller, Lucian, 1836-1898"
"89589 : Ziegler, Konrat, 1884-1974;89582 : Skutsch, Franz, 1865-1912;91837 : Kroll, Wilhelm, 1869-1939"
"84104 : Kübler, Bernhard, 1859-1940;Pseudo-Callisthenes"
"89560 : Halm, Karl, 1809-1882"
"89589 : Ziegler, Konrat, 1884-1974"
""
"91866 : Rabe, Hugo, 1867-1932"
"Gneist, Rudolph, 1816-1895."
"91812 : Gneist, Rudolph, 1816-1895"
"89691 : Bonnell, Eduard, 1802-1877"
"89691 : Bonnell, Eduard, 1802-1877"
"89691 : Bonnell, Eduard, 1802-1877"
"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886"
"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886"
"89690 : Gemoll, Wilhelm, 1850-1934"
"89700 : Strecker, Karl, 1861-1945"
"89672 : Lehnerdt, Maximilian 1861-1945?"
"91862 : Peter, Hermann, 1837-1914"
"91888 : Vogel, Theodor, 1836-1912"
"91888 : Vogel, Theodor, 1836-1912"
"91833 : Kaiser, Paul, 1852-1917"
"91821 : Herding, Wilhelm"
"91821 : Herding, Wilhelm"
"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886"
"91821 : Herding, Wilhelm"
"89672 : Lehnerdt, Maximilian 1861-1945?"
"89682 : Lohmeyer, Carl Friedrich Wilhelm, 1868-"
"89682 : Lohmeyer, Carl Friedrich Wilhelm, 1868-"
""
"89593 : Flemisch, Michael, 1873-"
"89593 : Flemisch, Michael, 1873-"
"84108 : Keil, Heinrich, 1822-1894;Hagen, Hermann, 1844-1898"
"89680 : Funaioli, Gino, 1878-1958"
"89680 : Funaioli, Gino, 1878-1958"
"91789 : Breysig, Alfred August Bernhard, 1831-1901"
"89560 : Halm, Karl, 1809-1882"
"89560 : Halm, Karl, 1809-1882;Andresen, Georg, 1845-"
"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886"
"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886"
"84104 : Kübler, Bernhard, 1859-1940;89616 : Seckel, Emil, 1864-1924;89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886"
"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886;84104 : Kübler, Bernhard, 1859-1940;89616 : Seckel, Emil, 1864-1924"
"91838 : Krueger, Paul, 1840-1926"
"89607 : Lang, Carl, 1841-"
"89601 : Holder, Alfred, 1840-1916"
"89684: Merkel, Rudolf, 1811-1885"
"89560 : Halm, Karl, 1809-1882"
"89675: Schullian, Dorothy M. (Dorothy May), 1906-1989;84102 : Kempf, Carolus, 1819-1894"
"84053 : Dietsch, Heinrich Rudolf, 1814-1875;89602 : Hultsch, Fridericus (Friedrich Otto), 1833-1906"
